AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double
Disease;string

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9;Disease
80;blue;7;none;20.7;medium;20.7;hot;10;medium;20.7;Maladie79
81;danger;0.55;medium;23445;false;45.5;hot;1234;danger;23445;Maladie80
82;hot;9;red;23;danger;11;red;10;none;10;Maladie81
83;true;45.5;safe;1234;medium;10;hot;10;false;45.5;Maladie82
84;hot;7;danger;23;none;11;red;11;hot;7;Maladie83
85;red;23445;medium;23445;danger;7;false;20.7;danger;10;Maladie84
86;red;20.7;safe;11;none;10;medium;7;none;1234;Maladie85
87;medium;45.5;true;10;medium;10;blue;7;hot;20.7;Maladie86
88;hot;23445;red;23445;danger;9;red;20.7;safe;11;Maladie87
89;cold;23445;safe;7;red;45.5;hot;7;cold;11;Maladie88
90;danger;0.55;blue;23445;safe;11;blue;0.55;false;10;Maladie89
91;none;45.5;cold;23445;red;10;cold;23445;false;10;Maladie90
92;blue;23445;medium;1234;red;11;false;1234;medium;10;Maladie91
93;red;20.7;red;1234;safe;1234;danger;11;blue;7;Maladie92
94;danger;1234;true;23;danger;10;medium;11;hot;20.7;Maladie93
95;blue;20.7;blue;1234;false;23445;false;9;cold;1234;Maladie94
96;hot;1234;true;23;none;7;false;10;none;1234;Maladie95
97;none;20.7;danger;7;none;7;blue;23;true;1234;Maladie96
98;cold;11;medium;23445;none;23445;medium;23;false;10;Maladie97
99;safe;20.7;none;0.55;none;45.5;cold;9;none;7;Maladie98
100;true;0.55;cold;10;medium;10;true;23445;true;0.55;Maladie99
101;red;10;false;11;true;1234;red;1234;red;11;Maladie100
102;medium;20.7;safe;11;safe;9;false;10;none;23445;Maladie101
103;red;9;medium;7;none;20.7;safe;10;false;7;Maladie102
104;true;7;false;1234;danger;7;hot;9;medium;45.5;Maladie103
105;medium;1234;none;45.5;hot;23;medium;20.7;danger;23445;Maladie104
106;safe;9;none;0.55;true;0.55;cold;23445;none;45.5;Maladie105
107;none;23;true;11;safe;11;cold;10;red;20.7;Maladie106
108;cold;23445;true;9;medium;23445;true;23;hot;23;Maladie107
109;blue;0.55;cold;23;danger;10;danger;20.7;red;11;Maladie108
110;medium;7;safe;23;none;0.55;hot;10;false;0.55;Maladie109
111;none;23445;false;11;medium;1234;blue;1234;false;10;Maladie110
112;cold;9;cold;11;none;0.55;safe;20.7;red;0.55;Maladie111
113;danger;45.5;safe;0.55;false;20.7;hot;23;true;45.5;Maladie112
114;false;23445;true;1234;false;7;medium;10;blue;1234;Maladie113
115;true;0.55;hot;45.5;medium;11;cold;1234;hot;1234;Maladie114
116;medium;11;medium;23445;cold;1234;false;7;false;0.55;Maladie115
117;cold;45.5;red;23;none;7;cold;0.55;danger;20.7;Maladie116
118;true;23445;medium;9;danger;23445;true;23;red;20.7;Maladie117
119;none;1234;none;7;cold;23;none;23;safe;7;Maladie118
120;false;9;cold;7;false;7;medium;45.5;red;9;Maladie119
121;none;45.5;false;7;false;45.5;none;45.5;red;1234;Maladie120
122;safe;23445;medium;0.55;none;45.5;true;23;safe;11;Maladie121
123;hot;7;safe;45.5;safe;11;none;1234;hot;10;Maladie122
124;medium;9;false;20.7;cold;7;safe;23;none;7;Maladie123
125;safe;11;safe;1234;cold;20.7;red;1234;false;23;Maladie124
126;none;20.7;cold;9;cold;1234;hot;23;none;20.7;Maladie125
127;safe;20.7;cold;45.5;blue;20.7;safe;23445;none;9;Maladie126
128;blue;20.7;blue;11;safe;23;false;45.5;safe;0.55;Maladie127
129;true;1234;red;45.5;blue;45.5;cold;20.7;safe;9;Maladie128
130;safe;45.5;cold;23445;danger;20.7;none;20.7;medium;20.7;Maladie129
131;none;45.5;none;20.7;safe;11;red;7;red;10;Maladie130
132;medium;23;danger;45.5;cold;7;false;45.5;blue;11;Maladie131
133;medium;11;true;20.7;none;23445;blue;7;medium;0.55;Maladie132
134;medium;0.55;safe;23445;true;11;hot;23445;red;10;Maladie133
135;red;9;red;23;none;23445;none;9;danger;11;Maladie134
136;false;23;none;23;none;7;none;1234;blue;1234;Maladie135
137;safe;20.7;danger;1234;false;0.55;none;23;safe;7;Maladie136
138;hot;9;red;7;hot;1234;medium;45.5;safe;10;Maladie137
139;cold;1234;none;23;blue;11;safe;0.55;cold;45.5;Maladie138
140;red;45.5;safe;7;false;9;danger;20.7;red;11;Maladie139
141;none;45.5;safe;7;none;7;safe;7;none;0.55;Maladie140
142;none;7;safe;20.7;safe;20.7;false;45.5;hot;11;Maladie141
143;true;45.5;false;20.7;medium;1234;cold;9;safe;45.5;Maladie142
144;none;9;danger;23445;safe;23445;medium;45.5;cold;23;Maladie143
145;hot;1234;safe;11;false;11;false;23445;safe;1234;Maladie144
146;blue;9;false;45.5;hot;45.5;red;45.5;safe;23445;Maladie145
147;medium;20.7;false;9;none;45.5;medium;1234;false;20.7;Maladie146
148;false;23445;blue;23;medium;1234;red;10;safe;45.5;Maladie147
149;blue;9;blue;10;false;11;none;9;hot;20.7;Maladie148
150;none;20.7;false;23;safe;7;hot;0.55;medium;20.7;Maladie149
151;blue;45.5;true;0.55;red;23445;cold;20.7;cold;23445;Maladie150
152;hot;10;medium;11;false;23445;blue;23;safe;20.7;Maladie151
153;false;1234;medium;23;true;7;true;7;none;23445;Maladie152
154;danger;23445;red;0.55;danger;23;danger;1234;false;10;Maladie153
155;blue;23445;false;23445;false;11;medium;10;danger;9;Maladie154
156;false;20.7;red;7;red;11;danger;23445;blue;1234;Maladie155
157;false;23;red;0.55;medium;20.7;safe;1234;red;45.5;Maladie156
158;medium;23;medium;9;none;1234;blue;0.55;false;23445;Maladie157
159;false;7;false;9;danger;10;medium;23445;cold;10;Maladie158
160;none;45.5;danger;23445;none;11;true;7;cold;0.55;Maladie159
161;true;7;danger;10;false;1234;medium;9;true;23445;Maladie160
162;medium;23445;false;9;blue;7;danger;20.7;danger;20.7;Maladie161
163;false;7;safe;20.7;false;23445;safe;9;safe;20.7;Maladie162
164;hot;10;danger;45.5;danger;23445;blue;0.55;medium;10;Maladie163
165;safe;11;none;45.5;cold;23445;true;1234;blue;1234;Maladie164
166;cold;11;cold;9;none;23;blue;1234;hot;0.55;Maladie165
167;false;23;danger;1234;safe;10;red;45.5;cold;0.55;Maladie166
168;none;20.7;safe;1234;hot;10;none;23;true;23;Maladie167
169;cold;23445;true;45.5;true;23;medium;45.5;cold;9;Maladie168
170;blue;0.55;none;10;safe;1234;cold;0.55;danger;7;Maladie169
171;false;1234;none;10;blue;7;none;20.7;safe;0.55;Maladie170
172;false;11;hot;23445;danger;45.5;hot;11;hot;7;Maladie171
173;safe;9;danger;23445;hot;9;false;9;red;23445;Maladie172
174;none;11;hot;10;true;9;red;10;true;9;Maladie173
175;none;45.5;none;23445;false;9;danger;7;none;9;Maladie174
176;red;45.5;true;20.7;safe;23445;true;11;medium;45.5;Maladie175
177;cold;23445;hot;7;hot;9;safe;10;true;7;Maladie176
178;safe;9;true;10;none;20.7;medium;7;medium;23445;Maladie177
179;true;45.5;red;1234;hot;7;safe;20.7;false;0.55;Maladie178
180;danger;9;false;23445;false;10;danger;10;none;7;Maladie179
181;false;9;blue;10;danger;23445;cold;7;safe;11;Maladie180
182;danger;11;none;1234;cold;11;medium;20.7;none;45.5;Maladie181
183;danger;20.7;red;23;medium;23;true;20.7;blue;20.7;Maladie182
184;cold;11;red;10;blue;0.55;none;1234;danger;20.7;Maladie183
185;hot;11;true;7;blue;45.5;false;45.5;cold;7;Maladie184
186;danger;7;safe;10;red;7;red;7;red;11;Maladie185
187;true;10;safe;23;safe;7;hot;45.5;danger;10;Maladie186
188;red;0.55;hot;20.7;danger;0.55;safe;45.5;safe;11;Maladie187
189;hot;45.5;blue;7;danger;1234;false;45.5;hot;23445;Maladie188
190;danger;9;none;10;danger;10;safe;7;safe;45.5;Maladie189
191;true;7;danger;10;red;23445;hot;9;false;7;Maladie190
192;danger;7;danger;1234;hot;7;none;20.7;medium;9;Maladie191
193;safe;11;none;1234;true;23445;hot;45.5;false;23;Maladie192
194;safe;7;red;23445;danger;0.55;none;1234;cold;7;Maladie193
195;none;0.55;safe;9;blue;23445;danger;45.5;red;45.5;Maladie194
196;hot;20.7;medium;20.7;danger;45.5;none;45.5;red;23445;Maladie195
197;true;0.55;red;1234;safe;23;medium;11;true;23;Maladie196
198;true;20.7;false;0.55;danger;45.5;cold;45.5;hot;0.55;Maladie197
199;danger;45.5;hot;7;none;7;blue;1234;medium;11;Maladie198
200;cold;23445;blue;23;false;7;none;11;hot;10;Maladie199
201;safe;23445;danger;45.5;red;20.7;danger;45.5;danger;45.5;Maladie200
202;blue;7;blue;1234;false;10;true;23;medium;10;Maladie201
203;cold;1234;cold;1234;safe;9;safe;45.5;none;20.7;Maladie202
204;false;11;safe;23445;safe;11;cold;0.55;none;10;Maladie203
205;medium;0.55;cold;23;red;9;cold;0.55;cold;1234;Maladie204
206;cold;1234;medium;45.5;cold;23445;none;9;none;10;Maladie205
207;false;23;true;23;none;0.55;danger;45.5;blue;9;Maladie206
208;blue;7;red;11;false;23445;false;23445;none;45.5;Maladie207
209;safe;0.55;none;1234;danger;10;none;0.55;false;7;Maladie208
210;blue;23445;none;1234;safe;45.5;medium;11;none;23445;Maladie209
211;medium;23;true;11;safe;0.55;hot;11;safe;9;Maladie210
212;red;23445;false;0.55;true;45.5;true;10;danger;7;Maladie211
213;hot;23445;true;23445;true;11;blue;7;none;20.7;Maladie212
214;true;1234;none;10;cold;23445;medium;9;none;10;Maladie213
215;danger;20.7;true;45.5;danger;20.7;cold;0.55;blue;0.55;Maladie214
216;cold;0.55;medium;11;false;0.55;false;7;danger;23445;Maladie215
217;cold;11;safe;23;hot;7;blue;7;safe;9;Maladie216
218;red;10;cold;23445;none;23;hot;45.5;false;11;Maladie217
219;true;11;medium;0.55;false;20.7;medium;45.5;medium;23;Maladie218
220;medium;20.7;false;9;red;10;danger;23;hot;45.5;Maladie219
221;danger;23445;blue;11;hot;10;true;10;safe;0.55;Maladie220
222;danger;11;medium;23;danger;10;safe;11;true;23;Maladie221
223;cold;23;cold;10;true;1234;blue;1234;false;11;Maladie222
224;cold;23445;red;45.5;safe;11;false;9;medium;45.5;Maladie223
225;hot;7;none;11;false;23;true;23445;safe;45.5;Maladie224
226;none;11;blue;7;hot;45.5;true;11;hot;23445;Maladie225
227;red;11;medium;9;red;11;cold;0.55;cold;23;Maladie226
228;true;10;medium;23445;cold;7;true;0.55;true;10;Maladie227
229;false;45.5;red;0.55;blue;23;cold;9;cold;9;Maladie228
230;blue;0.55;cold;23;medium;11;red;9;blue;20.7;Maladie229
231;hot;23445;true;7;blue;0.55;cold;7;true;20.7;Maladie230
232;none;23;false;23445;none;23445;medium;11;danger;0.55;Maladie231
233;true;23445;false;7;cold;0.55;false;9;red;23445;Maladie232
234;false;11;danger;23445;true;20.7;hot;11;safe;9;Maladie233
235;blue;20.7;false;23;danger;10;false;11;red;23;Maladie234
236;danger;11;none;45.5;none;23445;red;23445;hot;7;Maladie235
237;red;9;false;0.55;danger;23445;red;23;true;20.7;Maladie236
238;false;20.7;red;7;none;1234;hot;45.5;cold;0.55;Maladie237
239;hot;7;danger;0.55;true;11;cold;23445;false;7;Maladie238
240;false;20.7;hot;10;blue;23;true;20.7;blue;7;Maladie239
241;danger;23445;true;1234;danger;23;true;7;blue;23445;Maladie240
242;safe;9;hot;23;hot;11;true;1234;danger;20.7;Maladie241
243;hot;23;red;7;true;23;medium;0.55;red;0.55;Maladie242
244;hot;1234;hot;0.55;red;23;medium;1234;medium;20.7;Maladie243
245;cold;20.7;true;7;hot;20.7;safe;0.55;safe;10;Maladie244
246;hot;11;safe;10;cold;23445;none;23445;blue;11;Maladie245
247;none;45.5;medium;23;blue;20.7;cold;11;danger;1234;Maladie246
248;true;23445;danger;9;none;11;safe;9;danger;11;Maladie247
249;danger;23;red;10;medium;23445;safe;11;danger;23;Maladie248
250;false;1234;danger;23;hot;11;medium;1234;hot;45.5;Maladie249
251;true;23;danger;0.55;cold;23445;true;7;true;11;Maladie250
252;red;10;red;11;true;10;red;23445;blue;11;Maladie251
253;cold;10;medium;23445;red;9;hot;7;true;45.5;Maladie252
254;safe;11;medium;10;false;23445;hot;0.55;blue;7;Maladie253
255;cold;7;false;7;danger;23445;hot;0.55;hot;23445;Maladie254
256;danger;23445;true;23445;safe;23;blue;45.5;none;9;Maladie255
257;blue;11;cold;45.5;safe;1234;danger;45.5;safe;10;Maladie256
258;blue;9;danger;7;none;1234;danger;10;medium;45.5;Maladie257
259;danger;23445;true;10;blue;23;danger;7;medium;20.7;Maladie258
260;true;1234;danger;10;true;23;cold;45.5;medium;0.55;Maladie259
261;hot;23;true;7;danger;9;safe;7;safe;1234;Maladie260
262;red;10;safe;10;safe;10;safe;9;cold;20.7;Maladie261
263;safe;10;false;0.55;danger;23;hot;10;danger;23;Maladie262
264;red;45.5;cold;20.7;red;1234;false;11;cold;9;Maladie263
265;medium;9;false;45.5;cold;0.55;none;20.7;hot;20.7;Maladie264
266;red;9;red;1234;false;7;true;23445;medium;10;Maladie265
267;cold;11;none;7;blue;45.5;false;23;safe;0.55;Maladie266
268;danger;20.7;safe;0.55;medium;23445;none;9;safe;23445;Maladie267
269;red;0.55;medium;7;none;7;none;10;none;20.7;Maladie268
270;cold;20.7;danger;23;true;45.5;cold;11;false;7;Maladie269
271;safe;11;none;45.5;blue;23445;false;23;danger;9;Maladie270
272;danger;45.5;true;9;hot;7;none;9;cold;0.55;Maladie271
273;true;1234;false;0.55;danger;9;true;0.55;true;23;Maladie272
274;true;0.55;red;0.55;red;0.55;blue;23;red;9;Maladie273
275;danger;10;false;7;true;23445;hot;20.7;red;1234;Maladie274
276;danger;23;safe;23445;red;11;safe;11;false;45.5;Maladie275
277;hot;23445;true;7;medium;20.7;true;0.55;cold;9;Maladie276
278;true;10;safe;9;true;23;red;23;medium;20.7;Maladie277
279;hot;10;red;0.55;true;10;medium;23;cold;10;Maladie278
280;cold;23;true;23445;hot;23445;blue;10;safe;1234;Maladie279
281;safe;45.5;safe;10;none;1234;red;0.55;red;0.55;Maladie280
282;safe;45.5;blue;10;medium;23;hot;10;red;1234;Maladie281
283;none;20.7;hot;9;false;10;none;11;safe;0.55;Maladie282
284;cold;23;danger;9;safe;9;safe;7;false;9;Maladie283
285;none;11;danger;45.5;safe;23445;medium;9;red;11;Maladie284
286;hot;1234;red;45.5;medium;11;cold;11;none;9;Maladie285
287;hot;0.55;blue;10;none;9;medium;11;medium;1234;Maladie286
288;none;9;none;1234;red;1234;hot;9;true;45.5;Maladie287
289;cold;11;safe;11;none;11;blue;20.7;hot;9;Maladie288
290;true;20.7;cold;20.7;red;9;red;23445;none;7;Maladie289
291;safe;45.5;false;23445;cold;45.5;safe;1234;none;20.7;Maladie290
292;hot;10;medium;20.7;safe;23;blue;9;none;10;Maladie291
293;red;23;safe;20.7;danger;10;hot;10;true;20.7;Maladie292
294;none;10;false;7;blue;23445;true;1234;safe;10;Maladie293
295;false;20.7;medium;9;safe;1234;safe;20.7;none;7;Maladie294
296;cold;1234;hot;9;safe;11;true;23445;true;9;Maladie295
297;hot;1234;medium;11;none;10;false;20.7;hot;20.7;Maladie296
298;danger;7;danger;20.7;safe;11;false;23;medium;23;Maladie297
299;cold;20.7;safe;23445;cold;10;false;23445;false;0.55;Maladie298
300;true;10;false;10;red;10;true;0.55;medium;23;Maladie299
301;true;7;danger;10;hot;1234;true;7;blue;20.7;Maladie300
302;medium;1234;cold;7;true;45.5;cold;10;danger;23;Maladie301
303;false;10;blue;23445;true;7;safe;9;red;20.7;Maladie302
304;true;23445;none;7;red;0.55;blue;23445;danger;10;Maladie303
305;hot;45.5;medium;7;true;11;medium;11;safe;1234;Maladie304
306;hot;11;none;23;danger;0.55;true;10;medium;1234;Maladie305
307;safe;1234;medium;10;danger;0.55;true;10;medium;7;Maladie306
308;red;1234;cold;45.5;danger;1234;false;20.7;danger;20.7;Maladie307
309;safe;7;cold;11;cold;45.5;cold;0.55;none;10;Maladie308
310;true;11;medium;23445;danger;0.55;none;7;true;23445;Maladie309
311;true;23;false;10;hot;23;cold;10;none;11;Maladie310
312;danger;9;none;9;medium;10;danger;1234;false;23;Maladie311
313;red;1234;true;45.5;medium;20.7;hot;23445;medium;23;Maladie312
314;blue;11;false;20.7;hot;20.7;safe;10;hot;23445;Maladie313
315;none;23445;red;11;none;45.5;blue;0.55;hot;7;Maladie314
316;medium;23;medium;23;none;9;red;0.55;none;23445;Maladie315
317;red;9;medium;11;hot;0.55;hot;1234;hot;9;Maladie316
318;cold;20.7;false;11;blue;0.55;none;11;red;10;Maladie317
319;false;20.7;blue;10;none;23445;blue;10;hot;0.55;Maladie318
320;danger;45.5;red;9;true;10;danger;9;false;20.7;Maladie319
321;danger;7;false;20.7;red;1234;red;20.7;medium;10;Maladie320
322;danger;11;danger;20.7;true;0.55;true;20.7;true;7;Maladie321
323;true;23;danger;45.5;none;23;medium;1234;true;11;Maladie322
324;cold;45.5;danger;11;hot;11;none;7;false;23445;Maladie323
325;none;7;danger;11;cold;23;medium;11;safe;1234;Maladie324
326;false;23;cold;9;hot;23;true;7;danger;23445;Maladie325
327;false;9;danger;7;true;20.7;red;10;true;0.55;Maladie326
328;safe;9;danger;23;none;10;safe;23445;safe;23;Maladie327
329;safe;1234;safe;0.55;red;23;hot;11;danger;23;Maladie328
330;danger;45.5;blue;45.5;hot;10;hot;45.5;none;45.5;Maladie329
331;false;9;safe;23;cold;1234;danger;9;hot;45.5;Maladie330
332;danger;45.5;safe;11;red;10;hot;23445;true;0.55;Maladie331
333;danger;45.5;none;45.5;hot;23445;false;10;cold;20.7;Maladie332
334;danger;10;none;45.5;danger;7;safe;45.5;medium;45.5;Maladie333
335;blue;0.55;hot;20.7;safe;1234;medium;23445;cold;45.5;Maladie334
336;false;23;blue;1234;blue;23445;true;11;cold;23445;Maladie335
337;false;1234;cold;23445;red;1234;none;7;danger;7;Maladie336
338;none;45.5;danger;45.5;safe;7;cold;7;true;11;Maladie337
339;safe;11;danger;10;true;11;true;10;true;0.55;Maladie338
340;hot;20.7;medium;45.5;safe;1234;true;7;medium;9;Maladie339
341;danger;23445;hot;23445;true;23;red;20.7;false;23;Maladie340
342;hot;45.5;false;0.55;safe;10;cold;7;cold;23445;Maladie341
343;hot;23;safe;0.55;hot;0.55;medium;0.55;red;23445;Maladie342
344;false;23;medium;7;safe;0.55;hot;7;danger;0.55;Maladie343
345;cold;9;danger;1234;medium;23;false;1234;safe;11;Maladie344
346;blue;1234;blue;23445;red;1234;hot;23445;red;23;Maladie345
347;false;20.7;safe;1234;true;10;cold;11;false;1234;Maladie346
348;danger;20.7;red;23445;cold;7;cold;10;safe;20.7;Maladie347
349;blue;23445;false;11;safe;23;medium;20.7;red;7;Maladie348
350;false;10;cold;11;safe;7;hot;1234;cold;10;Maladie349
351;blue;23445;false;1234;red;23;true;1234;false;23;Maladie350
352;cold;0.55;hot;9;false;45.5;danger;1234;true;23445;Maladie351
353;red;45.5;true;11;cold;0.55;danger;20.7;cold;0.55;Maladie352
354;false;11;hot;7;red;20.7;none;45.5;cold;7;Maladie353
355;false;20.7;hot;11;danger;7;cold;23445;false;23445;Maladie354
356;safe;1234;hot;45.5;none;0.55;safe;23445;hot;23;Maladie355
357;red;23445;blue;45.5;red;7;blue;23445;red;11;Maladie356
358;false;1234;medium;11;red;20.7;false;23445;false;45.5;Maladie357
359;blue;23;true;11;hot;1234;blue;11;hot;23;Maladie358
360;cold;0.55;false;45.5;hot;10;red;1234;hot;1234;Maladie359
361;safe;9;false;10;hot;23;blue;45.5;cold;1234;Maladie360
362;medium;7;false;23;safe;0.55;true;23445;hot;0.55;Maladie361
363;medium;20.7;cold;23;red;10;danger;9;medium;23;Maladie362
364;hot;11;medium;23445;danger;0.55;red;7;none;20.7;Maladie363
365;hot;10;danger;20.7;red;10;hot;20.7;blue;1234;Maladie364
366;true;11;none;7;red;7;red;1234;cold;0.55;Maladie365
367;danger;1234;safe;7;cold;9;danger;1234;red;45.5;Maladie366
368;none;45.5;blue;23445;medium;10;true;0.55;blue;10;Maladie367
369;blue;7;medium;45.5;danger;10;red;20.7;hot;20.7;Maladie368
370;danger;7;hot;10;danger;10;hot;45.5;cold;10;Maladie369
371;red;11;safe;10;medium;45.5;red;1234;medium;7;Maladie370
372;blue;9;none;45.5;red;9;none;0.55;red;45.5;Maladie371
373;hot;1234;none;23445;cold;10;false;23;false;7;Maladie372
374;medium;7;true;23;medium;11;cold;9;red;11;Maladie373
375;blue;9;blue;7;medium;20.7;none;7;cold;0.55;Maladie374
376;red;9;true;9;blue;11;true;23445;true;10;Maladie375
377;safe;23445;true;11;blue;10;red;10;danger;23445;Maladie376
378;none;23;red;45.5;red;23445;safe;45.5;false;10;Maladie377
379;danger;0.55;blue;11;blue;20.7;blue;7;medium;23445;Maladie378
380;hot;11;blue;45.5;safe;23;none;23;hot;23;Maladie379
381;blue;11;blue;11;red;7;blue;45.5;danger;10;Maladie380
382;true;23445;danger;23;true;23445;danger;45.5;true;45.5;Maladie381
383;false;23445;medium;23;danger;7;medium;23445;none;10;Maladie382
384;safe;9;danger;23;blue;45.5;medium;23445;cold;20.7;Maladie383
385;danger;0.55;danger;23;medium;1234;cold;11;none;23445;Maladie384
386;false;10;cold;7;none;7;hot;45.5;danger;7;Maladie385
387;false;23445;red;0.55;false;0.55;true;10;blue;45.5;Maladie386
388;hot;9;red;1234;blue;1234;medium;23;safe;10;Maladie387
389;cold;7;safe;1234;blue;11;false;23445;hot;11;Maladie388
390;false;1234;danger;1234;cold;23445;hot;7;false;0.55;Maladie389
391;blue;20.7;danger;45.5;cold;11;false;10;true;7;Maladie390
392;none;7;true;11;false;0.55;none;23445;blue;7;Maladie391
393;blue;23445;medium;23;safe;10;false;0.55;hot;0.55;Maladie392
394;red;1234;cold;9;true;10;true;0.55;cold;11;Maladie393
395;safe;7;hot;11;false;45.5;danger;1234;cold;11;Maladie394
