AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9
41;danger;7;false;11;true;11;medium;23;hot;7
42;red;10;none;0.55;none;20.7;danger;7;true;9
43;none;7;cold;0.55;blue;11;true;9;hot;20.7
44;medium;0.55;medium;9;blue;20.7;red;0.55;cold;10
45;hot;0.55;blue;10;medium;20.7;safe;23445;false;9
46;medium;20.7;true;1234;true;10;false;0.55;true;23
47;danger;23445;safe;7;hot;0.55;true;7;true;7
48;hot;9;red;1234;medium;23;blue;20.7;blue;20.7
49;none;7;hot;9;danger;9;danger;7;safe;45.5
50;none;7;safe;20.7;true;1234;true;23;medium;11
51;true;9;safe;10;red;23;medium;0.55;none;11
52;safe;10;true;7;safe;9;blue;23445;danger;11
53;red;9;cold;20.7;cold;45.5;true;7;cold;23
54;safe;11;false;11;medium;10;red;45.5;hot;23445
55;danger;23445;true;45.5;danger;23;red;10;red;23445
56;red;20.7;red;23445;danger;23;false;45.5;danger;45.5
57;medium;9;danger;11;blue;7;false;9;safe;20.7
58;hot;11;cold;11;none;1234;blue;11;safe;20.7
59;false;45.5;cold;23;hot;1234;red;20.7;safe;7
60;none;10;cold;23445;safe;20.7;hot;11;safe;1234
61;hot;7;safe;23;true;9;hot;11;cold;45.5
62;cold;20.7;none;1234;true;20.7;blue;1234;medium;23
63;true;1234;blue;20.7;red;20.7;danger;1234;false;23445
64;red;10;cold;9;none;7;none;23445;medium;10
65;red;0.55;false;11;medium;7;safe;7;hot;20.7
66;false;10;none;45.5;hot;10;cold;45.5;red;11
67;false;0.55;cold;23;hot;10;safe;20.7;safe;20.7
68;blue;10;safe;23;danger;1234;true;10;danger;1234
69;false;23445;cold;0.55;danger;10;true;23445;cold;20.7
70;hot;9;cold;23445;false;7;danger;23;medium;9
71;hot;23445;hot;45.5;blue;9;medium;23;false;23
72;none;0.55;red;0.55;false;10;hot;11;hot;9
73;medium;0.55;red;9;none;1234;cold;11;red;0.55
74;cold;9;red;23445;hot;23445;blue;20.7;medium;7
75;true;20.7;hot;23445;cold;9;safe;1234;false;9
76;true;45.5;safe;7;blue;1234;red;23;true;20.7
77;blue;1234;blue;1234;safe;11;blue;1234;hot;23445
78;medium;10;danger;9;true;45.5;safe;0.55;red;9
79;true;9;red;7;medium;23;hot;23445;safe;45.5
80;medium;7;danger;23;true;1234;safe;7;red;0.55
81;danger;10;danger;10;medium;45.5;true;7;hot;1234
82;red;0.55;danger;7;red;45.5;cold;23445;true;9
83;true;11;none;11;false;20.7;blue;7;none;1234
84;false;9;safe;9;false;23;red;45.5;hot;23
85;cold;45.5;none;45.5;none;45.5;true;20.7;red;45.5
86;medium;23445;hot;0.55;hot;11;true;7;danger;10
87;none;7;medium;7;blue;1234;red;45.5;red;45.5
88;hot;45.5;hot;7;medium;1234;medium;0.55;none;9
89;none;45.5;medium;11;hot;7;hot;20.7;hot;1234
90;medium;1234;false;23;cold;10;none;11;danger;45.5
91;medium;45.5;true;7;medium;45.5;false;1234;danger;11
92;danger;9;danger;9;red;10;red;9;cold;10
93;false;23;cold;23445;false;10;red;0.55;red;20.7
94;none;10;none;20.7;safe;7;true;9;danger;9
95;cold;0.55;hot;9;safe;23;none;23445;danger;10
96;none;10;true;20.7;safe;1234;false;10;medium;20.7
97;none;23445;blue;10;safe;9;blue;9;medium;7
98;cold;45.5;true;10;false;20.7;true;1234;true;23
99;false;1234;none;7;medium;20.7;red;20.7;safe;11
100;blue;23445;none;20.7;safe;20.7;medium;10;red;10
101;none;23445;none;45.5;true;23445;safe;45.5;cold;11
102;cold;23;hot;20.7;false;1234;false;23445;false;23
103;red;1234;false;20.7;false;1234;safe;9;cold;7
104;medium;7;none;9;blue;10;none;7;false;45.5
105;none;7;blue;0.55;safe;20.7;false;23;hot;0.55
106;safe;45.5;red;11;safe;20.7;danger;1234;blue;23445
107;cold;20.7;false;7;false;45.5;medium;9;medium;23445
108;red;23;red;10;false;11;danger;1234;safe;9
109;cold;23445;blue;23;medium;23445;hot;45.5;red;23445
110;false;20.7;blue;20.7;false;20.7;hot;0.55;true;45.5
111;hot;10;red;9;red;7;red;7;none;1234
112;hot;23;cold;10;danger;1234;cold;45.5;blue;45.5
113;cold;20.7;medium;0.55;red;1234;hot;23445;true;23
114;blue;1234;safe;20.7;true;20.7;danger;45.5;blue;0.55
115;cold;0.55;false;1234;safe;23445;cold;10;red;20.7
116;safe;1234;none;0.55;false;9;blue;11;hot;11
117;blue;11;true;10;false;10;medium;9;false;7
118;false;45.5;cold;7;medium;45.5;false;23;false;45.5
119;medium;23;none;23;false;10;red;45.5;danger;7
120;medium;0.55;safe;45.5;false;7;safe;20.7;none;10
121;true;9;medium;23445;true;7;cold;10;hot;23
122;red;23445;hot;0.55;hot;1234;red;23445;medium;45.5
123;medium;23;red;9;red;20.7;red;9;danger;0.55
124;danger;10;true;23445;false;45.5;blue;7;medium;1234
125;false;23;blue;0.55;danger;23445;danger;45.5;danger;45.5
126;red;11;danger;7;none;11;medium;10;cold;10
127;red;11;cold;1234;medium;23445;false;0.55;false;10
128;blue;23445;medium;7;blue;11;cold;0.55;none;20.7
129;red;23445;blue;10;false;11;blue;23;danger;1234
130;safe;10;true;11;none;9;danger;23445;blue;1234
131;true;7;cold;23;false;10;none;20.7;cold;0.55
132;blue;45.5;blue;9;red;20.7;blue;45.5;danger;0.55
133;cold;45.5;false;7;false;0.55;medium;0.55;true;0.55
134;hot;20.7;danger;7;safe;20.7;false;11;red;10
135;safe;11;danger;20.7;danger;23;cold;20.7;cold;23445
136;cold;20.7;false;0.55;medium;20.7;true;11;true;7
137;false;0.55;hot;1234;medium;7;cold;10;red;11
138;none;23;blue;0.55;true;23445;true;20.7;medium;11
139;red;10;safe;11;medium;0.55;blue;1234;cold;11
140;danger;11;hot;23;true;23445;safe;7;hot;23445
141;hot;45.5;hot;1234;true;7;true;45.5;medium;9
142;blue;0.55;red;9;blue;7;blue;0.55;medium;9
143;medium;0.55;hot;45.5;danger;20.7;hot;23;safe;11
144;danger;11;false;10;false;10;blue;7;medium;9
145;safe;7;hot;11;false;23;danger;20.7;safe;1234
146;medium;9;none;7;none;23445;safe;23;false;9
147;medium;23;safe;45.5;hot;23;cold;1234;cold;23445
148;red;20.7;danger;9;hot;0.55;hot;45.5;red;9
149;safe;9;hot;1234;danger;7;none;11;danger;9
150;danger;7;safe;23445;true;23;cold;20.7;none;0.55
151;cold;23445;cold;7;red;7;hot;1234;danger;1234
152;cold;23;danger;10;false;23445;safe;0.55;hot;0.55
153;true;7;false;11;none;7;cold;7;cold;9
154;danger;9;none;20.7;blue;9;none;0.55;cold;10
155;danger;23;red;7;true;11;red;10;safe;20.7
156;cold;11;red;23445;true;23;blue;11;medium;7
157;safe;23445;cold;11;danger;10;cold;1234;cold;11
158;true;23445;none;23;medium;0.55;medium;9;blue;23
159;red;9;danger;9;true;1234;true;23445;false;23445
160;false;23445;red;23445;false;11;hot;7;true;45.5
161;safe;20.7;none;23;false;45.5;blue;7;false;45.5
162;red;1234;true;11;safe;20.7;safe;1234;false;23
163;false;45.5;cold;10;true;11;blue;23445;cold;0.55
164;true;9;red;45.5;medium;45.5;cold;7;cold;1234
165;medium;7;blue;45.5;medium;11;cold;1234;false;10
166;none;0.55;danger;23;cold;0.55;none;20.7;true;1234
167;medium;0.55;none;10;hot;45.5;false;45.5;none;10
168;danger;23445;false;23445;red;9;false;9;safe;10
169;none;23445;blue;45.5;blue;23;false;11;hot;9
170;hot;9;true;1234;safe;7;red;9;blue;20.7
171;blue;1234;none;23445;true;45.5;red;23445;blue;11
172;blue;45.5;none;7;false;23445;hot;1234;false;10
173;hot;9;medium;20.7;hot;23445;red;0.55;safe;20.7
174;blue;45.5;false;45.5;hot;20.7;true;23445;true;0.55
175;danger;23445;danger;9;none;11;danger;0.55;false;23445
176;none;9;true;10;hot;20.7;none;20.7;red;23445
177;medium;11;blue;11;hot;7;safe;7;true;20.7
178;none;20.7;true;10;none;1234;true;11;safe;10
179;true;45.5;hot;23445;true;45.5;red;9;cold;20.7
180;danger;11;medium;11;hot;23445;medium;45.5;cold;20.7
181;danger;45.5;true;45.5;medium;7;false;7;hot;7
182;medium;23445;hot;9;blue;1234;true;23;false;7
183;danger;11;hot;23445;false;0.55;medium;10;hot;1234
184;cold;11;false;9;none;23;red;45.5;danger;1234
185;none;10;none;11;cold;1234;red;11;none;11
186;red;10;cold;1234;none;45.5;false;20.7;safe;0.55
187;medium;10;safe;1234;hot;7;false;45.5;blue;9
188;blue;20.7;safe;11;none;9;safe;10;medium;23
189;blue;1234;red;0.55;red;1234;true;20.7;hot;45.5
190;none;1234;true;10;false;20.7;safe;9;danger;0.55
191;red;11;none;7;red;9;cold;23445;none;20.7
192;medium;23;true;10;false;10;blue;20.7;cold;10
193;blue;11;hot;9;hot;23;false;23;none;9
194;danger;20.7;safe;45.5;false;0.55;danger;10;medium;7
195;true;1234;none;45.5;medium;20.7;true;11;false;23445
196;blue;11;safe;11;none;23445;false;23445;true;9
197;cold;9;hot;7;blue;1234;blue;9;medium;1234
198;true;23;blue;10;none;1234;medium;23;hot;10
199;red;7;false;45.5;cold;23;false;7;red;20.7
200;false;9;safe;23445;false;23;danger;23445;hot;7
201;safe;23;none;9;true;23445;safe;10;medium;10
202;safe;23445;danger;23445;false;23;blue;23445;false;20.7
203;hot;7;medium;9;hot;45.5;red;20.7;medium;7
204;safe;45.5;cold;1234;hot;23;red;23;safe;45.5
205;cold;20.7;blue;20.7;red;1234;safe;20.7;true;0.55
206;none;10;false;45.5;safe;11;red;0.55;hot;11
207;danger;20.7;none;7;medium;20.7;false;10;cold;1234
208;red;20.7;hot;10;cold;45.5;true;10;false;7
209;false;1234;safe;45.5;red;23;danger;23;blue;23
210;true;1234;true;1234;safe;20.7;hot;23445;true;9
211;none;10;safe;23445;cold;1234;danger;20.7;danger;23
212;none;23;medium;23;safe;10;true;45.5;hot;0.55
213;red;23445;false;23;medium;20.7;medium;7;none;20.7
214;medium;0.55;danger;1234;hot;11;red;7;hot;0.55
215;medium;7;medium;7;medium;20.7;cold;20.7;medium;10
216;safe;7;safe;7;medium;23445;false;0.55;true;7
217;red;0.55;none;1234;hot;11;red;0.55;red;10
218;blue;45.5;medium;23;danger;23445;false;45.5;false;45.5
219;medium;23;false;1234;none;1234;hot;23445;hot;20.7
220;red;9;medium;11;danger;11;hot;20.7;danger;1234
221;cold;1234;true;10;none;7;safe;20.7;danger;10
222;red;1234;danger;1234;cold;1234;danger;23445;false;20.7
223;cold;0.55;blue;45.5;true;1234;red;1234;red;11
224;safe;0.55;true;11;blue;23445;hot;7;true;23445
225;danger;11;cold;45.5;true;20.7;blue;45.5;blue;23
226;none;1234;none;11;false;11;false;10;danger;9
227;red;23445;danger;1234;safe;20.7;true;1234;none;20.7
228;red;11;safe;0.55;none;10;medium;45.5;medium;1234
229;none;1234;cold;23445;cold;10;medium;1234;none;7
230;hot;45.5;blue;20.7;true;23;blue;23445;medium;20.7
231;true;7;danger;23;true;9;hot;23445;cold;23
232;red;45.5;cold;9;cold;9;safe;11;red;45.5
233;safe;45.5;false;9;none;23;red;11;cold;23
234;medium;23;safe;9;medium;7;false;23;safe;0.55
235;hot;7;cold;23445;false;10;none;23;danger;23
236;false;45.5;hot;11;blue;23;red;23;none;11
237;red;7;medium;10;medium;23445;hot;45.5;safe;20.7
238;red;45.5;cold;11;hot;45.5;cold;23445;blue;7
239;true;1234;safe;10;cold;11;false;7;none;23
240;none;45.5;cold;0.55;hot;0.55;none;7;red;45.5
241;cold;11;hot;0.55;hot;10;hot;0.55;none;0.55
242;blue;23;hot;1234;false;45.5;blue;45.5;blue;11
243;false;0.55;danger;9;true;23445;blue;0.55;danger;10
244;danger;20.7;red;20.7;none;23;safe;0.55;red;11
245;medium;20.7;none;7;cold;11;false;23;safe;7
246;medium;9;true;1234;danger;23445;red;0.55;medium;9
247;none;23445;medium;10;medium;1234;true;10;red;20.7
248;safe;45.5;danger;23;hot;45.5;none;20.7;red;23445
249;none;0.55;none;1234;safe;10;none;10;blue;20.7
250;safe;45.5;hot;23445;true;7;none;11;none;9
251;hot;23445;hot;0.55;danger;23;hot;23445;red;23
252;danger;23;none;0.55;red;45.5;hot;9;danger;23445
253;red;20.7;blue;45.5;safe;9;false;45.5;hot;7
254;blue;23;true;10;blue;10;cold;23;true;9
255;blue;45.5;safe;20.7;true;20.7;true;7;blue;23
256;cold;7;cold;1234;none;23;true;45.5;true;23
257;red;1234;blue;0.55;blue;45.5;hot;20.7;cold;0.55
258;false;11;hot;7;cold;11;danger;7;none;9
259;none;45.5;true;0.55;safe;23;medium;11;cold;10
260;false;9;cold;20.7;hot;23;false;11;safe;11
261;cold;45.5;medium;45.5;none;1234;none;7;safe;23445
262;false;20.7;true;1234;false;9;false;1234;danger;9
263;none;45.5;danger;23445;none;11;cold;10;safe;23445
264;cold;20.7;danger;9;blue;45.5;hot;10;danger;23445
265;red;45.5;blue;7;red;20.7;safe;1234;true;9
266;safe;9;safe;7;safe;1234;blue;45.5;true;1234
267;true;23445;medium;23;cold;9;true;20.7;blue;0.55
268;none;45.5;hot;11;danger;20.7;none;1234;red;0.55
269;false;45.5;safe;10;hot;1234;safe;23;safe;0.55
270;blue;1234;red;0.55;red;10;true;1234;cold;0.55
271;blue;1234;red;23;medium;10;safe;1234;none;20.7
272;false;23445;hot;11;danger;9;true;45.5;cold;9
273;hot;23;false;0.55;blue;10;hot;10;red;7
274;cold;20.7;false;1234;false;9;cold;11;medium;0.55
275;none;10;false;7;medium;23445;cold;23;false;45.5
276;red;23445;cold;20.7;safe;23;red;7;cold;45.5
277;safe;23445;medium;23445;cold;0.55;false;45.5;red;1234
278;true;10;medium;11;false;23445;blue;20.7;cold;11
279;blue;23445;cold;10;false;20.7;blue;23;danger;10
280;blue;9;safe;10;medium;7;danger;9;safe;23
281;blue;45.5;none;11;cold;0.55;blue;9;blue;23
282;hot;23445;blue;9;cold;23445;red;20.7;red;23445
283;blue;45.5;hot;10;false;11;danger;0.55;false;11
284;true;20.7;none;23;false;7;safe;20.7;blue;10
285;hot;7;hot;7;cold;9;danger;11;cold;7
286;true;9;blue;0.55;blue;10;medium;23445;safe;23445
287;false;20.7;medium;23445;cold;11;danger;11;medium;7
288;safe;9;false;7;false;23445;true;7;medium;7
289;true;23;red;1234;danger;0.55;danger;23;red;23
290;none;9;blue;45.5;red;7;cold;7;false;9
291;true;23;blue;23;safe;11;hot;23;danger;45.5
292;safe;20.7;none;45.5;red;9;true;23;danger;1234
293;medium;0.55;danger;20.7;false;45.5;hot;45.5;false;7
294;medium;0.55;danger;7;medium;11;danger;23;danger;7
295;hot;23445;hot;20.7;medium;9;red;0.55;hot;23445
296;medium;10;blue;23;hot;7;none;9;red;1234
297;red;23;false;1234;false;45.5;cold;0.55;medium;1234
298;none;7;danger;11;blue;9;true;23;cold;20.7
299;safe;9;false;45.5;medium;45.5;medium;11;blue;9
300;hot;1234;hot;11;cold;0.55;cold;20.7;none;7
301;hot;9;cold;11;true;45.5;false;10;blue;23
302;cold;11;none;0.55;blue;10;danger;1234;true;7
303;false;7;true;23;safe;0.55;red;20.7;cold;7
304;none;1234;blue;0.55;medium;23;false;9;none;23
305;blue;23;true;45.5;danger;45.5;cold;0.55;cold;1234
306;blue;45.5;none;11;hot;9;blue;11;cold;45.5
307;danger;45.5;none;1234;false;45.5;true;20.7;danger;9
308;danger;9;red;7;medium;9;red;23445;danger;45.5
309;hot;10;safe;0.55;medium;45.5;true;9;blue;45.5
310;red;10;danger;0.55;cold;11;hot;0.55;hot;10
311;true;7;medium;1234;hot;10;none;9;medium;9
312;false;1234;false;23445;medium;11;none;7;hot;0.55
313;medium;23445;red;23445;medium;23445;safe;9;none;7
314;cold;45.5;false;23;red;23;none;20.7;red;23
315;danger;1234;cold;9;danger;9;cold;7;true;9
316;true;7;true;0.55;cold;23445;cold;23;blue;11
317;cold;23;cold;10;hot;0.55;false;11;true;9
318;none;10;danger;23;hot;23;true;7;danger;20.7
319;danger;1234;false;0.55;cold;11;cold;9;cold;23445
320;red;45.5;red;7;hot;45.5;false;9;medium;20.7
321;true;0.55;danger;11;medium;10;blue;20.7;hot;0.55
322;danger;23;hot;20.7;safe;7;blue;0.55;safe;9
323;none;0.55;danger;7;false;1234;red;1234;true;10
324;hot;7;danger;1234;true;23;safe;10;hot;20.7
325;safe;9;red;10;blue;11;danger;9;red;11
326;false;1234;blue;10;cold;11;blue;7;true;10
327;cold;9;cold;9;red;23445;red;23445;true;23445
328;blue;23445;medium;10;none;23445;red;0.55;cold;23
329;none;9;red;11;medium;45.5;blue;7;none;0.55
330;none;1234;safe;23445;medium;20.7;safe;1234;red;23
331;danger;45.5;false;20.7;false;23;danger;1234;false;11
332;true;23445;cold;10;safe;11;red;7;blue;20.7
333;medium;20.7;none;23;medium;10;hot;0.55;true;20.7
334;cold;1234;safe;20.7;danger;23;hot;20.7;false;10
335;none;1234;hot;7;red;23;hot;23;danger;10
336;none;9;hot;11;true;23;medium;11;cold;9
337;medium;23445;false;45.5;safe;0.55;danger;0.55;medium;23445
338;false;1234;hot;1234;cold;23445;hot;0.55;red;20.7
339;medium;7;red;9;red;0.55;red;23;blue;23445
340;none;10;safe;9;red;9;none;10;false;11
341;true;9;hot;23445;true;20.7;red;11;true;0.55
342;medium;1234;hot;20.7;false;7;danger;7;danger;10
343;none;10;safe;1234;red;11;hot;1234;danger;23445
344;cold;23445;true;11;hot;45.5;true;23445;false;11
345;blue;20.7;none;1234;medium;20.7;hot;9;medium;9
346;false;0.55;red;45.5;cold;9;danger;11;red;7
347;cold;1234;medium;45.5;none;20.7;red;11;red;10
348;false;45.5;cold;1234;safe;0.55;medium;20.7;true;9
349;false;23;none;11;red;23;red;1234;true;0.55
350;medium;11;hot;20.7;red;9;medium;20.7;medium;9
351;cold;10;danger;1234;false;9;medium;7;medium;0.55
352;safe;11;danger;7;blue;23;true;20.7;hot;1234
353;red;23445;red;11;red;11;false;23;safe;7
354;safe;20.7;red;20.7;hot;0.55;safe;20.7;hot;20.7
355;hot;7;medium;9;none;20.7;hot;10;danger;9
356;medium;11;blue;10;red;23445;true;45.5;cold;23
357;medium;1234;hot;0.55;hot;23445;false;20.7;false;0.55
358;blue;7;hot;23;none;10;safe;0.55;hot;23
359;true;45.5;none;10;blue;7;danger;20.7;none;0.55
360;cold;1234;true;7;blue;9;danger;23;true;45.5
361;hot;23445;true;9;danger;23445;danger;1234;safe;45.5
362;red;0.55;safe;1234;hot;23445;blue;11;true;45.5
363;danger;23445;hot;10;blue;10;blue;9;true;11
364;false;7;false;0.55;blue;20.7;hot;10;none;23
365;false;7;blue;1234;none;7;safe;11;blue;20.7
366;cold;20.7;none;23;true;7;cold;11;hot;23
367;red;9;hot;10;danger;23;false;0.55;blue;23445
368;false;45.5;hot;10;false;9;danger;45.5;cold;7
369;safe;0.55;medium;11;true;23;red;1234;danger;11
370;true;45.5;cold;20.7;true;20.7;danger;7;none;9
371;danger;11;red;7;false;0.55;medium;23445;none;10
372;danger;11;red;10;medium;9;none;9;blue;20.7
373;safe;23445;blue;23445;medium;20.7;false;9;true;20.7
374;false;45.5;danger;1234;none;9;hot;23445;cold;9
375;false;0.55;true;20.7;hot;23445;safe;10;cold;9
376;red;20.7;hot;9;false;1234;false;9;false;9
377;blue;0.55;cold;7;true;23445;false;9;true;10
378;medium;7;safe;10;blue;9;danger;9;safe;20.7
379;safe;1234;danger;11;hot;0.55;blue;45.5;cold;11
380;cold;1234;cold;20.7;red;0.55;red;7;cold;9
381;danger;11;blue;10;safe;0.55;hot;10;hot;23
382;true;7;true;10;false;0.55;true;7;medium;0.55
383;false;20.7;danger;20.7;hot;23;hot;9;hot;9
384;medium;9;hot;11;none;11;false;23445;cold;0.55
385;danger;20.7;false;45.5;medium;0.55;red;20.7;safe;10
386;blue;11;red;7;medium;1234;cold;1234;danger;1234
387;danger;7;blue;0.55;red;1234;cold;0.55;safe;23445
388;red;7;medium;9;red;0.55;false;11;safe;11
389;false;10;medium;0.55;cold;1234;red;9;blue;1234
390;red;0.55;false;23;none;11;red;1234;hot;23445
391;blue;0.55;blue;10;false;23445;false;9;blue;20.7
392;safe;7;medium;1234;medium;45.5;none;10;false;7
393;blue;11;medium;23445;red;45.5;hot;23445;safe;11
394;cold;9;danger;45.5;none;45.5;hot;20.7;hot;10
395;hot;23;safe;23;medium;1234;true;0.55;false;23445
396;hot;20.7;blue;23;hot;0.55;false;7;hot;23445
397;hot;11;true;23;safe;0.55;medium;23;red;20.7
398;none;7;hot;9;red;7;safe;45.5;blue;1234
399;false;1234;true;9;false;1234;medium;23445;danger;9
400;false;7;medium;0.55;red;0.55;true;23445;false;7
401;none;23;safe;45.5;danger;1234;danger;11;safe;45.5
402;none;9;cold;10;none;10;danger;10;cold;45.5
403;danger;45.5;none;11;danger;7;cold;9;false;7
404;hot;1234;none;7;red;1234;hot;7;safe;20.7
405;safe;7;danger;23445;cold;20.7;safe;20.7;none;45.5
406;blue;45.5;danger;0.55;cold;23445;blue;11;false;23
407;none;0.55;true;7;red;20.7;danger;9;blue;20.7
408;true;11;blue;23;hot;23;none;10;blue;11
409;blue;1234;hot;45.5;red;9;none;0.55;safe;0.55
410;red;20.7;safe;9;medium;10;red;7;medium;20.7
411;danger;11;red;9;false;23445;none;23;blue;45.5
412;hot;20.7;hot;11;medium;20.7;cold;20.7;safe;11
413;hot;23445;false;9;false;45.5;true;10;medium;45.5
414;safe;9;medium;7;true;23445;medium;10;red;11
415;red;9;hot;10;danger;45.5;safe;1234;safe;1234
416;false;20.7;hot;45.5;blue;10;medium;23445;danger;7
417;cold;9;true;20.7;medium;1234;danger;45.5;danger;45.5
418;cold;23445;false;45.5;red;23;blue;23;false;20.7
419;true;7;medium;9;cold;23445;blue;0.55;red;0.55
420;safe;23445;safe;23445;safe;11;true;20.7;none;45.5
421;none;9;medium;7;true;20.7;red;23445;cold;1234
422;blue;23;true;10;cold;10;red;10;red;23
423;none;23445;cold;23445;cold;10;hot;9;true;45.5
424;red;10;blue;11;false;7;medium;7;hot;45.5
425;hot;11;medium;23445;hot;1234;true;20.7;cold;11
426;cold;0.55;danger;7;true;1234;safe;0.55;blue;7
427;safe;9;cold;7;blue;10;true;9;blue;23445
428;cold;23;red;7;danger;10;hot;10;false;11
429;blue;1234;none;7;danger;9;red;45.5;cold;0.55
430;red;0.55;danger;45.5;safe;0.55;red;7;safe;23
431;safe;9;true;1234;cold;1234;safe;23445;none;1234
432;danger;7;false;7;medium;9;medium;0.55;medium;0.55
433;blue;10;red;20.7;medium;11;blue;9;medium;0.55
434;hot;9;true;10;none;1234;danger;23;none;23445
435;danger;10;true;23;medium;11;blue;9;safe;45.5
436;red;1234;cold;9;cold;45.5;red;10;safe;1234
437;none;7;red;45.5;false;23445;true;9;none;1234
438;danger;11;safe;7;false;20.7;danger;0.55;red;20.7
439;danger;11;false;20.7;true;7;hot;23;false;23
440;red;9;none;23445;hot;23;hot;10;blue;20.7
441;none;23445;blue;0.55;cold;45.5;false;23445;hot;23
442;none;20.7;none;45.5;red;9;danger;20.7;danger;9
443;red;10;true;45.5;safe;10;false;20.7;safe;10
444;danger;1234;medium;23;safe;9;false;10;red;10
445;hot;23445;false;0.55;hot;0.55;blue;23445;true;10
446;cold;9;blue;11;blue;45.5;false;20.7;safe;1234
447;cold;20.7;medium;11;none;10;blue;7;safe;10
448;danger;11;danger;11;true;23445;none;9;hot;7
449;blue;23;none;9;false;1234;none;23445;medium;45.5
450;false;10;none;11;medium;45.5;red;11;hot;45.5
451;cold;11;medium;23;cold;20.7;medium;20.7;true;9
452;red;23445;red;1234;medium;9;blue;7;true;1234
453;cold;10;false;0.55;danger;23;true;20.7;hot;7
454;false;7;cold;20.7;cold;23;danger;1234;false;20.7
455;none;11;cold;23445;medium;7;safe;0.55;none;23
456;medium;7;danger;1234;safe;45.5;cold;10;none;45.5
457;medium;7;red;20.7;cold;20.7;true;10;cold;0.55
458;cold;10;safe;0.55;hot;20.7;cold;1234;cold;10
459;hot;11;danger;7;true;10;blue;11;blue;1234
460;false;1234;false;20.7;cold;7;none;7;cold;1234
461;none;9;cold;23;cold;45.5;safe;45.5;cold;1234
462;blue;1234;none;1234;blue;11;cold;20.7;danger;10
463;none;0.55;blue;1234;true;1234;red;1234;red;23
464;danger;1234;safe;45.5;safe;10;blue;0.55;blue;0.55
465;cold;9;danger;11;hot;0.55;false;20.7;blue;11
466;none;1234;true;10;blue;9;red;11;none;0.55
467;none;23445;cold;11;danger;23;cold;10;medium;10
468;false;7;cold;9;hot;1234;none;23445;none;23
469;true;7;blue;7;red;1234;red;7;medium;0.55
470;danger;0.55;false;45.5;false;0.55;blue;10;true;7
471;medium;7;true;0.55;false;10;blue;1234;hot;9
472;hot;11;safe;7;cold;23;none;7;danger;9
473;true;23445;danger;11;medium;11;false;45.5;cold;23445
474;medium;23;true;0.55;medium;0.55;danger;45.5;true;0.55
475;safe;11;false;0.55;true;20.7;true;0.55;false;7
476;blue;7;true;10;medium;10;red;11;red;1234
477;cold;0.55;hot;7;cold;0.55;danger;23445;safe;23445
